codigo,nombre,abreviacion_propuesta,correccion,nota
72.72,Análisis y Verificación de Modelos y Códigos,Verificación,,
72.73,Aprendizaje por Refuerzo en Robótica,RL Robótica,,
72.74,Visualización de Información,Visualización,,
72.75,Aprendizaje Automático (Machine Learning),ML,,
72.77,Técnicas Automáticas para Testing de Software,Testing,,
72.78,OLAP Espacial,OLAP Espacial,,
72.79,Sistemas Multiagente I,Multiagente,,
72.80,Big Data,Big Data,,
72.81,Simulación y Animación de Sistemas Multipartículas,Multipartículas,,
72.82,Tópicos de NOSQL,NoSQL,,
72.83,Técnicas Avanzadas de HCI con Uso de Rastreadores de Ojos y Manos,HCI Avanzado,,
72.84,Base de Datos Espaciales y Sistemas de Información Geográfica,BD Espaciales,,
72.85,Análisis de Datos en la Web Semántica,Web Semántica,,
72.86,Técnicas Avanzadas en Videojuegos,Videojuegos Avanzado,,
72.87,Diseño Sonoro para Animación y Videojuegos,Diseño Sonoro,,
72.88,Introducción a la Neurociencia Computacional,Intro Neuro Comp,,
72.89,Moneda Digital Descentralizada,Moneda Digital,,
72.90,Internet de las Cosas (IoT),IoT,,
72.92,El Paradigma NoSQL - Bases de Datos de Grafos,BD Grafos,,
72.94,Introducción a los Sistemas Embebidos,Intro Embebidos,,
72.95,Proyecto de Innovación Científico-Tecnológico,PICT,,
72.96,Proyecto de Aplicaciones Móviles,PAM,,
72.97,Introducción a la Programación de Videojuegos,Intro Prog Videojuegos,,
73.21,Desarrollo de Aplicaciones Móviles Multiplataforma,Móviles Multiplataforma,,
73.22,Fundamentos de DevOps,DevOps,,
73.23,Programación Orientada a Datos,Orientada a Datos,,
73.24,Diseño de Runtimes Concurrentes,Runtimes,,
73.30,Desarrollo profesional de software: del código al producto,Del Código al Producto,,
73.31,Spec-Driven Development,SDD,,
73.40,ARQUITECTURA DE MICROSERVICIOS,Microservicios,,
73.50,"Infraestructura de Cómputo: Data Center, Cloud y Edge",Infra de Cómputo,,
73.60,Introducción a la Robótica Empresarial,Robótica Empresarial,,
73.61,Neurorobótica,Neurorobótica,,
73.62,Introducción a la Programación Paralela,Paralela,,
73.63,Redes Equivariantes,Equivariantes,,
73.64,Temas Avanzados en Deep Learning,Deep Learning,,
73.65,Procesamiento del Lenguaje Natural,NLP (73.65),,"conflicto con 82.18: no está en la lista vigente del plan, lleva el código"
73.66,Procesamiento de Imágenes Satelitales,Imágenes Satelitales,,
73.67,Análisis de series de tiempo con Inteligencia Artificial,Series de Tiempo,,
73.68,Tecnologías Emergentes para Aprendizaje Automático e Inteligencia Artificial,Tec. Emergentes IA,,
73.69,Large Language Models,LLM,,
73.70,Análisis de datos en neurociencias,Datos Neuro,,
73.80,SEGURIDAD OFENSIVA,Seg. Ofensiva,,
73.81,Ciberseguridad Ofensiva y Defensiva,Ciber Ofe/Def,,
73.82,Bases de Datos Espaciales y de Movilidad,BD Movilidad,,
73.83,Gestión estratégica de la Ciberseguridad,Gestión Ciber,,
73.84,Ciencia de Datos Aplicada,Ciencia de Datos,,
73.89,Introducción a Blockchain y Criptomonedas,Blockchain,,
73.98,Desarrollo Integral de Videojuegos,Videojuegos Integral,,
74.60,Visión por Computadora (Computer Vision),Visión,,
74.61,Current AI techniques for scientific discovery,IA Científica,,
81.13,Futuros Posibles,Futuros,,
81.14,Product Management,Product Mgmt,,
81.16,Negociación,Negociación,,
81.57,Arquitectura de soluciones digitales,Arq. Soluciones,,
81.74,Introducción a la realidad aumentada,RA,,"conflicto resuelto: es la vigente del plan, conserva «RA»"
81.76,Tecnologías para las Finanzas,Fintech,,
81.94,Experiencia Inmersiva de Innovación Tecnológica,Exp. Inmersiva,,
82.08,Cloud Computing,Cloud,,"conflicto resuelto: es la vigente del plan, conserva «Cloud»"
82.18,Procesamiento del Lenguaje Natural,NLP,,"conflicto resuelto: es la vigente del plan, conserva «NLP»"
82.21,Factibilidad de Proyectos Data Driven,Factibilidad,,
94.26,Comunicación Organizacional,Com. Organizacional,,
94.42,Comunicación Estratégica,Com. Estratégica,,
94.62,Ética en los Negocios,Ética,,
94.64,Prácticas Expositivas,Prácticas Expositivas,,
94.65,Practica Profesional supervisada,PPS,,
94.78,Gestión de Capital Emprendedor y Venture Capital,Venture Capital,,
94.92,Escritura Académica,Escritura,,
